sent,received,amount,date
0,447595eb-def9-4d8c-81e8-e11011f1181a,e8c35495-ab7d-47fc-9d5d-d3812fe592f0,92.37,2022-03-15 03:53:55
1,b5af3e75-6a16-4f10-b613-2af8796ec6ac,417b99ee-2e21-4543-b827-acf0f394182f,29.13,2022-05-22 09:21:24
2,87925fe9-e800-47ae-a92d-bbe516f1b99f,e1930962-a1f0-4b08-8458-9e9e5ed0b91b,77.9,2022-05-01 16:06:19
3,56d8b4ef-19df-4dcb-b295-afd175f84710,48afafeb-df97-4d1a-92b1-5b8fb4494ab1,77.38,2022-02-09 20:28:59
4,653f4e97-8b47-4ad7-8d7a-d0a043ec93e3,9e19394c-5f31-4451-b458-97da7b3c3eb3,19.57,2022-10-14 14:16:25
5,0afd2921-d99c-419c-8389-120aa4fc0567,f4835a42-8390-4947-a358-c666fa979628,51.91,2022-02-12 13:08:19
6,99fcc9ab-093a-4287-bc9d-82e1a5081272,dddf9209-1220-4629-9f17-2196c053ffd7,26.75,2022-03-16 20:03:45
7,dc9641f3-edac-4686-a800-a82124925c4f,72a08177-f109-4157-aee4-8b1ac0891ef3,37.64,2022-09-25 00:44:37
8,4c2cb556-22c4-41dd-9ea8-c77129a1c060,5f4c39d8-3a78-40d2-98f3-b27eb93fee7b,55.98,2022-09-23 04:10:47
9,84ac7569-c0c4-48de-8556-eaf3feb1fc1e,cb666fa9-bf58-4c8e-8898-4f3a86dfd3a8,24.12,2022-12-21 11:49:47
10,8b3375b7-9b6e-4dfc-ad28-39640d004340,a352c420-fe1c-4269-be4c-cf3f9d52de9c,64.92,2022-02-02 01:34:35
11,1e05ca91-37ba-4e5a-a6dd-bf693bbb836d,ba507cc0-a3c9-4d83-ba64-b5d0092d75a5,85.11,2022-06-17 15:13:10
12,f5a3e6a7-ef8d-4f73-a486-1ebbdabe6aaa,61544eb2-4542-4551-9570-0f0bcc696e1d,87.67,2022-10-03 01:47:33
13,1fb7c8c9-ce6c-40b6-8e53-c6bd0fec3720,0b65b716-8795-40f1-9ff3-ada4a0008a64,38.16,2022-12-18 02:45:48
14,1398d523-bacd-48d3-8e0a-c4a9f637f620,202f5101-b127-48a9-a43a-027de978a613,59.72,2022-07-23 02:54:49
15,0d613ee3-7f5d-475f-a184-3e6cd39827bf,08758098-7111-4f8c-88d3-f136f96eaff8,10.6,2022-06-17 08:32:15
16,ae4bab54-d9ae-4488-8c7a-c6800094329d,ac08cc26-4bf2-4947-9286-42447a9a4ad7,27.85,2022-07-30 04:37:57
17,b50ce29d-f617-4f3d-86ca-519add51ddb4,8976aa40-3b52-44fd-bf28-0cda200a262c,34.45,2022-01-02 18:55:55
18,76dcdbc4-14d0-4a76-ad89-7301ad05e84b,1f57fb35-1dbb-4ab7-b018-d851550dd175,14.99,2022-02-22 16:49:50
19,2952f52c-e9f2-491e-b1e4-0850f6e737ea,c89ae054-9f07-47ab-9f89-05e509413fc0,13.54,2022-12-30 15:35:58
20,8320ee1a-ab46-4c89-8ab4-6d712eee32ae,dae5a834-d3f6-49fe-b234-75cbd6209435,49.94,2022-12-25 16:04:05
21,e8feed1d-4940-4477-9341-125e88c4e2f6,a06b2429-6286-460f-b339-9206050197e4,28.17,2022-07-12 05:53:54
22,d1978d59-4f67-4a61-bc72-eb00ddfcc5b6,8cfc6f68-c88e-47aa-b2ea-2a5949ff8791,91.01,2022-03-31 12:48:23
23,a9a88b83-a422-45fb-bc47-c9b86b473471,7a6036e3-14cb-4ab6-917b-a6da340eaa9e,98.9,2022-11-25 00:52:35
24,b4e96fe3-5272-4b9e-a27d-d65905c661a6,8cfc6f68-c88e-47aa-b2ea-2a5949ff8791,36.08,2022-03-22 12:14:28
25,bf072074-3a7b-4d50-87d8-e3e1aff2b448,e60c505c-49e2-410a-a6ef-a0307eba14f5,67.7,2022-05-03 14:26:39
26,3d773895-5f5f-43a6-85b7-5f6fca981375,ebc35b46-74ed-4945-a282-e753485c106c,16.27,2022-03-29 00:55:42
27,d2008dde-9257-4b66-8192-0f1f39872c9d,fc36d498-66f9-4c0b-a544-0aad06730fdf,89.09,2022-09-17 21:32:20
28,800683f4-75b1-4860-ae21-1e80951f38c1,c36450bb-7f0b-4b55-8f99-4b4708bbedcc,52.82,2022-07-05 17:12:29
29,c5f6fe1e-d0fa-4aec-bc00-3065fa0f025b,50d60d1a-9ca3-4a7d-9c08-ef79c6a08d1f,43.41,2022-10-03 04:00:12
30,5d721dc5-bd72-4c75-ac85-ef63e9ccd199,71b85617-c5da-4713-a9f2-31138f9af012,19.51,2022-01-02 15:29:21
31,c8aae087-2b6d-4e41-ae36-a2625a825a8c,abe4a9f5-8fb5-4f0d-9839-a4f72b1e8f75,95.0,2022-09-13 21:15:25
32,632c78e2-ff10-4db5-b23a-ce363f1e76da,45999935-ecb0-40c0-94f4-fe4ad15584bb,37.59,2022-03-29 19:40:20
33,79631742-95d0-4eff-ac79-d52fd0a95f00,94808be1-6bd4-42ec-80ca-3a892f34f1ba,92.53,2022-02-12 13:19:26
34,47468d30-337c-48c7-9858-bdd6c3f299b2,4c292663-9136-4624-b268-6f20eab73661,33.24,2022-01-11 07:50:13
35,ffe52759-6e6c-49e4-8c1a-b4c1bc9d6a2d,048a0b10-b4b8-4df0-945b-910048508ed4,28.82,2022-12-07 02:43:02
36,9793f5cc-cea0-4473-8bb1-ff7b0e71e355,8bbe71fb-048e-46b7-856d-ca43bb9b9b17,91.05,2022-06-24 03:22:45
37,b680dc7e-a459-4e9d-ac9f-c36bcb2651d9,39f629cc-e3fc-4545-8443-668650193b41,32.4,2022-05-08 08:32:17
38,d1ca8905-4b45-423a-8f7f-cafbbefed9dd,899594a9-e3fd-4302-84d0-b8c9d7fa97bf,89.45,2022-03-03 22:27:49
39,06c7c77a-fe4f-4cef-9cd8-7acff33be7ba,9c1adcc3-342e-4887-9e78-8f06056e24ff,83.36,2022-01-28 22:18:43
40,0a2f060a-791c-4f38-80f3-6396d4990c1c,0877efa6-c229-45ec-9d47-a4b5cbf203c1,29.19,2022-05-02 14:28:23
41,c5ac3497-65d0-4875-b888-15580eb1db6c,2bcf81bd-dbf2-4ed1-b01e-c01858521c5d,40.46,2022-12-23 08:33:11
42,bbdd9a43-f99b-4e25-86f1-6d0746c07166,98e7ec98-4338-4919-9cd7-c5e01ddcfe43,54.83,2022-02-22 01:37:15
43,cacbd286-1863-4805-aa16-babda7707f3e,3b260fa9-5884-4f5e-b481-3e1af7f93293,48.47,2022-01-29 17:37:57
44,6c4c0c9d-90a6-4765-ba7a-09ebe82f9e4a,d6bf79a0-30ea-410d-a076-7e151c86b874,39.7,2022-07-07 12:46:06
45,9ca46806-6f88-4f69-9ab8-4a5093ff22e0,b0c61228-c3ea-49ab-989c-742ab81f5bca,72.62,2022-02-18 09:16:06
46,bf7e2985-6dde-4b0f-9dc1-daf964ccd194,6428719d-a420-4773-9014-033581151705,41.44,2022-01-14 20:20:05
47,6101ed25-30d4-456e-8896-b95fd160037e,85de4a7d-5562-4018-9279-9df30728079f,69.75,2022-06-16 20:58:16
48,0295db68-730f-4e41-90ee-f3774a919e88,74c88553-28fa-409d-9d12-2fbd18e0ebf8,39.65,2022-10-03 00:52:18
49,491bb995-1c5e-4d93-bf26-42e7388c5f55,02660d74-7153-4b91-9dab-5ecfe5900027,69.91,2022-08-13 13:19:39
50,45b1c442-ec30-426f-bf69-51961eb55e5a,8298f16f-80ae-4ab2-8c0f-bcee4cde3078,19.65,2022-01-17 05:24:53
51,31bdb39f-8b35-4410-a85d-72a207bbf331,cf317d87-e449-4784-a438-9c2869a18a08,10.01,2022-05-24 00:23:37
52,1422f421-476e-430a-ae6d-e68db169a1fb,823b9f88-0e7a-4884-ac3c-e910e73015a7,76.51,2022-09-21 14:09:09
53,1106ae19-745e-4e0d-b33a-26972830740a,964918ab-1c2a-4227-ba57-93465d693cc2,76.41,2022-05-06 22:34:37
54,cc431bd4-bc0c-4770-85b6-b5e3762228d8,5be01d42-968e-408a-b42e-a5c776833dd5,70.23,2022-03-01 19:54:20
55,673e3859-3ddc-4414-890d-f8fc29d2371e,b65cb3fb-5951-4a14-bf9d-9a63499fdd98,40.5,2022-12-03 12:03:14
56,6972711f-7a00-417b-ad12-db31411becc5,b3ddda15-bdc6-470e-81ed-8f766087a3b5,62.13,2022-11-25 17:05:30
57,c366c066-d581-4b6a-8ddb-ba7540109e98,7ec12914-6939-467b-9a97-0184239e76e0,39.49,2022-06-17 05:03:26
58,f848e1e9-34d9-487a-b691-198e8031879a,240a0331-d805-4414-bb07-2300813bcbc2,18.61,2022-07-02 20:21:35
